x px
0.2971470664 -0.3553075563
0.3033706599 0.2634774673
-0.0749685286 0.2899665874
-0.0139370151 0.1603148111
0.2575952346 -0.0304668580
0.3434379555 -0.2731118713
0.3200904454 0.2481508454
-0.0643617541 0.2903559631
0.0070715465 0.1560770820
0.2654572916 -0.0473887178
0.3368793025 -0.2953641287
0.2873238611 0.2657191512
-0.0582960460 0.2720589042
0.0783435985 0.1310626605
0.2761970582 -0.0920517875
0.3121243550 -0.3368757908
0.2917923101 0.2672777662
-0.0688670595 0.2802168767
0.0310696670 0.1460466198
0.2651661274 -0.0645982011
0.3328146802 -0.2911765595
0.3568171556 0.2271997429
-0.0613103615 0.3146658587
-0.0732996218 0.1852195656
0.1989843844 0.0430847149
0.3213211231 -0.1739158310
-0.1537479095 -0.4643086181
0.2832093810 0.2890897346
-0.1017559557 0.3050409314
-0.1236469771 0.1931977930
0.0748768499 0.1014471904
0.2103022877 -0.0820431490
0.2107930572 -0.1563637291
0.2025166714 -0.1738717424
0.1822469321 -0.1707209270
0.1048093926 -0.1453105920
-0.1456838795 -0.0532468112
-0.2188350150 0.1146223686
-0.2270205586 0.1728362934
-0.2612361756 0.2119807024
-0.2593151496 0.3786768299
-0.4860523457 0.1162724963
-0.2341288922 -0.3164366911
0.1171713112 -0.2928779371
0.1239784045 -0.1882297602
-0.0791320888 -0.0983357733
-0.2077589425 0.0835109718
-0.2008730539 0.1528780206
-0.1650659587 0.1588756389
-0.0335823250 0.1228931767
0.2048204616 -0.0228654723
0.2498346435 -0.1556183240
0.3046966330 -0.2611722786
-0.2390845696 -0.4181405846
-0.4795061217 -0.1240550133
-0.3679953775 -0.2645558429
-0.0083082557 -0.3671904555
0.1811087072 -0.2612835764
0.2230766298 -0.2178181079
0.2753188724 -0.2454685073
0.0331945498 -0.4772748932
0.4976725091 0.0045035811
0.2760223444 0.3090310903
-0.1142548035 0.3331861522
-0.2237551086 0.2542212794
-0.2822779336 0.3095370159
0.2535022920 0.4027600864
0.3413505365 0.3010090297
0.0339192114 0.3751139426
-0.1900514461 0.2824259641
-0.2662541806 0.2726824816
0.0152913285 0.4755752838
0.4348806448 0.2215435285
0.3104147475 -0.0351337570
0.2370940861 -0.4326202657
0.4090982254 0.1397763698
0.0030458593 0.2966099709
0.0867631946 0.1455873433
0.3091112493 -0.0979173178
0.1108325664 -0.4780139924
0.4815630840 -0.0107134009
0.1056315697 0.3211745197
-0.0002490307 0.2000638710
0.2855543284 -0.0088959114
0.3204731919 -0.3599110951
0.4414273968 0.0780714122
0.0401991649 0.2993356109
0.1020854310 0.1491534404
0.3291585943 -0.1066014777
-0.0705836294 -0.4898775362
0.4512300933 0.0956826045
0.0340397797 0.3256749908
-0.0109709439 0.1872896287
0.2755755235 -0.0144419042
0.3327132800 -0.3352219779
0.4705693129 -0.0087661226
0.0908584696 0.3045322889
0.0804997826 0.1692763201
0.3324436262 -0.0857409761
-0.0102013167 -0.4967129734
0.4094032332 0.1533754046
-0.0118406576 0.3097777089
0.0194933206 0.1659671559
0.2843226505 -0.0520185937
0.3003528407 -0.3691806953
0.4793626015 -0.0668015146
0.1250024270 0.3085708125
0.0404751818 0.1908372069
0.3169454151 -0.0458374005
0.1946504331 -0.4551844567
0.4045941112 0.1485833833
-0.0034579520 0.2977914000
0.0755283097 0.1481443706
0.3023925526 -0.0908861113
0.1774641296 -0.4547776521
0.4826288394 -0.0344736658
0.1156281550 0.3177679926
0.0077449737 0.1996521745
0.2926800940 -0.0151162544
0.3030726917 -0.3800519841
0.4309296156 0.1003419342
0.0269886012 0.2982245759
0.0997534551 0.1467359947
0.3236574142 -0.1057083893
-0.0294274354 -0.4929568224
0.4658595156 0.0613942542
0.0611604857 0.3263700216
-0.0087696291 0.1928047723
0.2782161110 -0.0106586029
0.3303325695 -0.3422430104
0.4616942998 0.0262943461
0.0701517488 0.3033746676
0.0904096966 0.1608316409
0.3322148145 -0.0957759808
-0.0522326478 -0.4934677863
0.4253260707 0.1354271911
0.0003932045 0.3176833429
0.0003857707 0.1754782064
0.2795332833 -0.0330478508
0.3190630283 -0.3496714706
0.4768296675 -0.0429499089
0.1108475602 0.3068746916
0.0593114917 0.1812393251
0.3258252858 -0.0655779800
0.0988922990 -0.4865855662
0.4043128449 0.1543247937
-0.0101525172 0.3028789920
0.0484954858 0.1562880978
0.2921530365 -0.0734779580
0.2589772833 -0.4063007783
0.4813392794 -0.0632718670
0.1259325161 0.3122333375
0.0234901202 0.1967236960
0.0113277016 0.0998290336
0.1725839979 -0.0472398993
0.1114448883 -0.1137160144
-0.1204806685 -0.0517114883
-0.1607526626 0.0934101647
-0.0249856470 0.1018804891
0.1755655539 -0.0269995386
0.1500115268 -0.1193498671
-0.0225569107 -0.0949038488
-0.1642097723 0.0515789875
-0.0780023116 0.1051144211
0.1609009842 0.0152939323
0.1794487345 -0.1150806985
0.0812227651 -0.1240381065
-0.1742450951 -0.0204698060
-0.2265180212 0.1305577524
-0.2507039843 0.1903731662
-0.3002192529 0.2980986564
0.3245660705 0.3612371930
0.4043177339 0.2303147745
0.0719817697 0.3617699649
-0.1499610499 0.2576729758
-0.1249794487 0.1760371903
0.0866339551 0.0915132892
0.2007702577 -0.0856399781
0.1742670429 -0.1439164744
0.0616748348 -0.1264229369
-0.1946934396 -0.0013057888
-0.2528018029 0.1488165810
-0.3083080193 0.2665110880
0.2763649842 0.3973552217
0.4559839957 0.1608454264
