q p curve
0.410386 3.741316 3
2.840359 3.587122 3
5.476283 4.035902 3
1.396092 3.402359 3
4.247718 3.991809 3
0.249025 3.835867 3
2.712679 3.564539 3
5.461860 4.058452 3
1.452878 3.416823 3
4.393822 4.032129 3
0.441069 3.769165 3
3.090075 3.693452 3
5.775804 4.055115 3
1.822890 3.413409 3
4.779966 4.063945 3
0.784976 3.601957 3
3.538610 3.827972 3
6.025293 4.001886 3
2.040031 3.414706 3
4.904495 4.046779 3
0.836479 3.558236 3
3.504550 3.801879 3
5.927793 3.996371 3
1.846870 3.377080 3
4.660657 4.018804 3
0.546629 3.673273 3
3.015690 3.638192 3
5.573075 4.024940 3
1.470291 3.385738 3
4.300551 3.992931 3
0.267310 3.819582 3
2.699869 3.555029 3
5.424745 4.051146 3
1.387969 3.417042 3
4.291674 4.010732 3
0.330052 3.814092 3
2.897054 3.629139 3
5.634615 4.063782 3
1.669950 3.412488 3
4.644668 4.061249 3
0.675752 3.657580 3
3.419363 3.796146 3
5.970501 4.020222 3
2.005787 3.417560 3
4.902092 4.054716 3
0.859841 3.556966 3
3.577240 3.829871 3
6.005955 3.991407 3
1.964648 3.393839 3
4.791307 4.030209 3
0.684828 3.611422 3
3.225365 3.705701 3
5.706950 4.013462 3
1.592691 3.371335 3
4.408414 4.000453 3
0.335305 3.780972 3
2.757728 3.566065 3
5.437793 4.042647 3
1.375001 3.410926 3
4.245416 3.996258 3
0.265145 3.834685 3
2.763223 3.583302 3
5.517092 4.062400 3
1.527930 3.414770 3
4.490693 4.047042 3
0.536645 3.725587 3
3.235986 3.740577 3
5.868201 4.042447 3
1.914546 3.415491 3
4.847961 4.061276 3
0.833101 3.576045 3
3.578892 3.836196 3
6.034416 3.994298 3
2.029348 3.408509 3
4.876044 4.040535 3
0.790830 3.571640 3
3.411685 3.769113 3
5.846770 4.002665 3
1.744089 3.369546 3
4.554710 4.010929 3
0.449679 3.721151 3
2.887806 3.600265 3
5.500996 4.032671 3
1.413363 3.397602 3
4.257745 3.991278 3
0.249403 3.833146 3
2.701277 3.559471 3
5.445097 4.056350 3
1.427379 3.417389 3
4.357024 4.025195 3
0.402737 3.785529 3
3.026587 3.672481 3
5.732085 4.059079 3
1.777237 3.412770 3
4.742458 4.064158 3
0.756102 3.616874 3
3.509691 3.820813 3
6.013722 4.006689 3
2.035750 3.416298 3
4.909200 4.049335 3
0.848983 3.555671 3
3.534574 3.812871 3
5.956992 3.994197 3
1.887840 3.381903 3
4.704661 4.022345 3
0.590671 3.652610 3
3.078899 3.657974 3
5.611294 4.021408 3
1.503204 3.380572 3
4.328202 3.994724 3
0.282870 3.810175 3
2.710019 3.556157 3
5.423431 4.048670 3
1.378523 3.415943 3
4.271291 4.005339 3
0.304920 3.822925 3
2.848558 3.612728 3
5.594584 4.064177 3
1.623397 3.412913 3
4.597622 4.058144 3
0.634836 3.677966 3
3.368861 3.781412 3
5.943882 4.027018 3
1.983631 3.417273 3
4.891041 4.056920 3
0.856978 3.560624 3
3.585205 3.834059 3
6.019965 3.991337 3
1.990586 3.398906 3
4.822713 4.033539 3
0.721912 3.596560 3
3.287602 3.726596 3
5.751060 4.010029 3
1.637545 3.369089 3
4.450541 4.003488 3
0.365955 3.764586 3
2.790018 3.573942 3
5.451856 4.039756 3
1.381293 3.407548 3
4.242955 3.993716 3
0.255099 3.836472 3
2.736559 3.573710 3
5.489704 4.060828 3
1.491824 3.415746 3
4.445826 4.040716 3
0.493229 3.745808 3
3.171816 3.720076 3
5.828844 4.048598 3
1.876332 3.414514 3
4.820851 4.062752 3
0.814769 3.586189 3
3.565294 3.833871 3
6.033277 3.997084 3
2.037558 3.411702 3
4.891706 4.043387 3
0.814011 3.564352 3
3.457017 3.784960 3
5.885000 3.999691 3
1.790873 3.372152 3
0.637858 4.921043 4
1.221962 4.588869 4
1.992139 4.331672 4
2.914088 4.443741 4
3.948671 4.801586 4
4.764083 5.098008 4
5.441704 5.294162 4
5.962955 5.311902 4
0.163511 5.192317 4
0.671819 4.907544 4
1.287279 4.558089 4
2.089566 4.328486 4
3.074744 4.493923 4
4.095052 4.857562 4
4.911243 5.153507 4
5.554329 5.309641 4
6.071379 5.306252 4
0.274724 5.135147 4
0.796801 4.837321 4
1.464995 4.472964 4
2.285538 4.330123 4
3.323427 4.575657 4
4.268865 4.918614 4
5.052337 5.198937 4
5.645628 5.310960 4
6.144414 5.290983 4
0.339764 5.093009 4
0.855022 4.798899 4
1.526649 4.443857 4
2.328644 4.329821 4
3.344600 4.580301 4
4.260078 4.911739 4
5.022992 5.185169 4
5.610527 5.303664 4
6.098586 5.292061 4
0.281762 5.120344 4
0.776199 4.839234 4
1.399498 4.495523 4
2.168179 4.320369 4
3.117082 4.502208 4
4.078465 4.844711 4
4.851705 5.124881 4
5.485336 5.292785 4
5.983328 5.302906 4
0.168295 5.181748 4
0.657231 4.908200 4
1.241955 4.576638 4
2.006473 4.329076 4
2.921824 4.444949 4
3.945584 4.799259 4
4.752884 5.092579 4
5.428294 5.290353 4
5.946114 5.310597 4
0.143409 5.199985 4
0.645181 4.920766 4
1.244569 4.579462 4
2.034147 4.330589 4
2.991766 4.467953 4
4.026531 4.832050 4
4.846898 5.130137 4
5.508094 5.305079 4
6.029188 5.310335 4
0.232909 5.158574 4
0.752330 4.863432 4
1.405107 4.500512 4
2.224069 4.328112 4
3.253065 4.552167 4
4.224002 4.903527 4
5.019900 5.189638 4
5.626639 5.312045 4
6.131575 5.295283 4
0.330595 5.100366 4
0.850395 4.803447 4
1.527804 4.444763 4
2.339552 4.331937 4
3.369461 4.589982 4
4.286967 4.922691 4
5.053875 5.196610 4
5.637500 5.306766 4
6.127799 5.289616 4
0.314834 5.103302 4
0.816651 4.817473 4
1.460187 4.468958 4
2.238869 4.322368 4
3.212987 4.533830 4
4.150880 4.870803 4
4.916246 5.147410 4
5.529735 5.296521 4
6.021278 5.299179 4
0.203178 5.162600 4
0.691005 4.887665 4
1.283036 4.553735 4
2.045216 4.324999 4
2.963189 4.455936 4
3.969977 4.806978 4
4.766140 5.096055 4
5.432408 5.289071 4
