q p orbit
5.436398 2.236026 1
3.161447 2.259160 1
0.871668 1.747151 1
5.377413 2.261081 1
3.079090 2.235268 1
0.827277 1.755505 1
5.347377 2.286136 1
3.068211 2.241184 1
0.843158 1.769292 1
5.380946 2.283111 1
3.141003 2.270197 1
0.901493 1.773095 1
5.439428 2.255074 1
3.306779 2.336600 2
1.041539 1.788229 2
5.579797 2.188961 2
3.402347 2.337197 2
1.034112 1.745330 2
5.515121 2.177063 2
3.214403 2.256988 2
0.858417 1.717496 2
5.325157 2.257318 2
2.944477 2.176925 2
0.710995 1.745482 2
5.218011 2.337353 2
2.892681 2.189170 2
0.747129 1.788337 2
5.313597 2.336432 2
3.111243 2.280423 2
0.930787 1.802582 2
5.505287 2.250560 2
3.363579 2.347077 2
1.061866 1.777504 2
5.581627 2.174635 2
3.373654 2.320093 2
0.993902 1.732831 2
5.464945 2.193409 2
3.129098 2.228393 2
0.802756 1.720330 2
5.276236 2.285621 2
2.898646 2.169358 2
0.700256 1.759070 2
5.225370 2.347175 2
2.933939 2.210915 2
0.792128 1.796452 2
5.369058 2.317776 2
3.196405 2.307575 2
0.984209 1.799025 2
5.546667 2.222090 2
3.397925 2.348966 2
1.063792 1.764884 2
5.565866 2.168958 2
3.321366 2.297015 2
0.942155 1.723184 2
5.407847 2.216770 2
3.045166 2.202778 2
0.755546 1.728207 2
5.240214 2.310764 2
2.877324 2.171069 2
0.707226 1.772235 2
5.250728 2.348944 2
2.996356 2.237934 2
0.846646 1.801469 2
5.427647 2.292641 2
3.275699 2.329297 2
1.027096 1.792194 2
5.573329 2.197769 2
3.406829 2.342538 2
1.047110 1.751318 2
5.533849 2.172532 2
3.250214 2.269768 2
0.884372 1.718041 2
5.349677 2.244478 2
2.971689 2.183133 2
0.721239 1.739695 2
5.220767 2.330628 2
2.882190 2.181777 2
0.731384 1.783875 2
5.291566 2.342172 2
3.073978 2.267419 2
0.905162 1.803034 2
5.483165 2.263727 2
3.340900 2.343484 2
1.055043 1.782539 2
5.583014 2.179982 2
3.389482 2.328498 2
1.013442 1.738129 2
5.488368 2.185170 2
3.167326 2.240902 2
0.826710 1.718393 2
5.296617 2.273305 2
2.916129 2.171581 2
0.702855 1.753017 2
5.219800 2.343769 2
2.912761 2.200481 2
0.770710 1.793208 2
5.343710 2.326973 2
3.158825 2.296038 2
0.961505 1.801027 2
5.529941 2.234374 2
3.385708 2.349184 2
1.065264 1.770661 2
5.574975 2.170353 2
3.347221 2.307887 2
0.966200 1.726995 2
5.433666 2.205695 2
3.081613 2.213564 2
0.775124 1.724169 2
5.254323 2.300157 2
2.883597 2.169166 2
0.701949 1.766529 2
5.237382 2.349195 2
2.966392 2.225464 2
0.821623 1.799654 2
5.401678 2.304437 2
3.241820 2.320495 2
1.009693 1.795602 2
5.563502 2.207872 2
3.406121 2.346377 2
1.056743 1.757376 2
5.549910 2.169797 2
3.283692 2.282220 2
0.910354 1.719681 2
5.375208 2.231855 2
3.002457 2.190948 2
0.734634 1.734267 2
5.227182 2.322576 2
2.876782 2.175966 2
0.718643 1.778957 2
5.271777 2.346240 2
3.038150 2.254245 2
0.879108 1.802780 2
5.459307 2.276809 2
3.314179 2.338208 2
1.044711 1.787134 2
5.580895 2.186943 2
3.400380 2.335606 2
1.030291 1.743831 2
5.509960 2.178497 2
3.204991 2.253710 2
0.851871 1.717536 2
